Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,,-9999
7,165,DEN,Mike Askea,T,22,1973,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,,,Stanford,,AskeMi20
7,166,DEN,John Grant,DT,23,1979,0,0,3,30,30,99,0,0,0,0,0,0,0,0,0,0,0,,5.0,USC,,GranJo21
7,167,RAM,Bill DuLac,G,22,1975,0,0,0,3,,26,0,0,0,0,0,0,0,0,0,0,0,,,Eastern Michigan,,DuLaBi20
7,168,MIN,Josh Brown,RB,,,0,0,0,,,,,,,,,,,,,,,,,Texas St.,,-9999
7,169,NYJ,Mike Haggard,WR,,,0,0,0,,,,,,,,,,,,,,,,,South Carolina,College Stats,-9999
7,170,ATL,Tommy Campbell,DB,25,1976,0,0,0,2,,14,0,0,0,0,0,0,0,0,0,0,0,,,Iowa St.,,CampTo20
7,171,CIN,Bob Maddox,DT,24,1976,0,0,1,7,3,28,0,0,0,0,0,0,0,0,0,0,0,,6.0,Frostburg St.,,MaddBo21
7,172,NYG,Rod Freeman,TE,,,0,0,0,,,,,,,,,,,,,,,,,Vanderbilt,,-9999
7,173,KAN,Donn Smith,T,,,0,0,0,,,,,,,,,,,,,,,,,Purdue,,-9999
7,174,SFO,John Mitchell,LB,,,0,0,0,,,,,,,,,,,,,,,,,Alabama,,-9999
7,175,DET,John Andrews,DE,21,1976,0,0,1,7,,28,0,0,0,0,0,0,0,0,0,0,0,,3.5,Morgan St.,,AndrJo20
7,176,DAL,Rodrigo Barnes,LB,23,1976,0,0,0,12,6,35,0,0,0,0,0,0,0,0,0,0,0,,2.0,Rice,,BarnRo20
7,177,GNB,John Muller,T,,,0,0,0,,,,,,,,,,,,,,,,,Iowa,,-9999
7,178,MIA,Willie Hatter,WR,,,0,0,0,,,,,,,,,,,,,,,,,Northern Illinois,,-9999
7,179,OAK,Gary Weaver,LB,24,1979,0,0,3,27,8,87,0,0,0,0,0,0,0,0,0,0,0,,5.0,Fresno St.,,WeavGa20
7,180,PIT,Nate Dorsey,WR,22,1973,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,,,Miss. Valley St.,,DorsNa21
7,181,BUF,John Ford,TE,,,0,0,0,,,,,,,,,,,,,,,,,Henderson St.,,-9999
7,182,MIA,Thomas Smith,RB,23,1973,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,Miami (FL),College Stats,SmitTh20
8,183,HOU,Joe Blahak,DB,23,1977,0,0,0,13,2,44,0,0,0,0,0,0,0,0,0,0,0,3,,Nebraska,,BlahJo20
8,184,PHI,Dan Lintner,DB,,,0,0,0,,,,,,,,,,,,,,,,,Indiana,,-9999
8,185,NOR,Bob Peterson,G,,,0,0,0,,,,,,,,,,,,,,,,,Utah,,-9999
8,186,NWE,Isaac Brown,RB,,,0,0,0,,,,,,,,,,,,,,,,,Western Kentucky,,-9999
8,187,CHI,Conrad Graham,DB,,,0,0,0,,,,,,,,,,,,,,,,,Tennessee,,-9999
